"medcode"	"readcode"	"readterm"	"newcat"
"460"	"E241.13"	"benzodiazepine dependence"	"Drug misuse"
"46244"	"E02y300"	"drug-induced depressive state"	"Drug misuse"
"46677"	"Z191100"	"alcohol withdrawal regime"	"Alcohol misuse"
"46962"	"E258.00"	"nondependent antidepressant type drug abuse"	"Drug misuse"
"47123"	"9k14.00"	"alcohol counselling by other agencies"	"Alcohol misuse"
"47335"	"Eu11.00"	"[x]mental and behavioural disorders due to use of opioids"	"Drug misuse"
"4743"	"J612.00"	"alcoholic cirrhosis of liver"	"Alcohol misuse"
"47555"	"F11x000"	"cerebral degeneration due to alcoholism"	"Alcohol misuse"
"47784"	"Eu16211"	"[x]drug addiction - hallucinogen"	"Drug misuse"
"48131"	"E253z00"	"nondependent hallucinogen abuse nos"	"Drug misuse"
"48241"	"U60H311"	"[x] adverse reaction to alcohol deterrents"	"Alcohol misuse"
"48514"	"SM00100"	"denatured alcohol causing toxic effect"	"Alcohol misuse"
"4915"	"G555.00"	"alcoholic cardiomyopathy"	"Alcohol misuse"
"50265"	"Eu16.00"	"[x]mental and behavioural disorders due to use hallucinogens"	"Drug misuse"
"50964"	"Eu11500"	"[x]mental & behav dis due to use opioids: psychotic disorder"	"Drug misuse"
"5105"	"E24..00"	"drug dependence"	"Drug misuse"
"51197"	"E247.00"	"other specified drug dependence"	"Drug misuse"
"5203"	"E246.00"	"glue sniffing dependence"	"Drug misuse"
"52451"	"E248300"	"combined opioid with other drug dependence in remission"	"Drug misuse"
"52739"	"Eu11y00"	"[x]men & behav dis due to use opioids: oth men & behav dis"	"Drug misuse"
"52794"	"E243200"	"cannabis dependence, episodic"	"Drug misuse"
"52842"	"E259300"	"nondependent mixed drug abuse in remission"	"Drug misuse"
"52846"	"E25y300"	"nondependent other drug abuse in remission"	"Drug misuse"
"52953"	"E259200"	"nondependent mixed drug abuse, episodic"	"Drug misuse"
"53008"	"E259.00"	"nondependent mixed drug abuse"	"Drug misuse"
"53071"	"E252300"	"nondependent cannabis abuse in remission"	"Drug misuse"
"53678"	"E249100"	"combined drug dependence, excluding opioid, continuous"	"Drug misuse"
"54356"	"8AA..00"	"drug abuse monitoring"	"Drug misuse"
"54800"	"E25y100"	"nondependent other drug abuse, continuous"	"Drug misuse"
"55611"	"U60A100"	"[x]opioid recept antag causing adverse effect in therap use"	"Drug misuse"
"5610"	"E253.00"	"nondependent hallucinogen abuse"	"Drug misuse"
"5611"	"Eu10.00"	"[x]mental and behavioural disorders due to use of alcohol"	"Alcohol misuse"
"56179"	"Eu16300"	"[x]mental and behav dis due hallucinogens: withdrawal state"	"Drug misuse"
"56194"	"E248000"	"combined opioid with other drug dependence, unspecified"	"Drug misuse"
"56337"	"E259000"	"nondependent mixed drug abuse, unspecified"	"Drug misuse"
"56410"	"7P22100"	"delivery of rehabilitation for alcohol addiction"	"Alcohol misuse"
"56947"	"E230100"	"continuous acute alcoholic intoxication in alcoholism"	"Alcohol misuse"
"5740"	"E230.00"	"acute alcoholic intoxication in alcoholism"	"Alcohol misuse"
"5758"	"Eu10212"	"[x]chronic alcoholism"	"Alcohol misuse"
"57714"	"E230.11"	"alcohol dependence with acute alcoholic intoxication"	"Alcohol misuse"
"57939"	"E014.00"	"pathological alcohol intoxication"	"Alcohol misuse"
"58731"	"E255100"	"nondependent opioid abuse, continuous"	"Drug misuse"
"59184"	"E246z00"	"glue sniffing dependence nos"	"Drug misuse"
"59574"	"E230300"	"acute alcoholic intoxication in remission, in alcoholism"	"Alcohol misuse"
"59676"	"E247000"	"other specified drug dependence, unspecified"	"Drug misuse"
"60985"	"8I2N.00"	"drug dependence home detoxification contraindicated"	"Drug misuse"
"6169"	"E23z.00"	"alcohol dependence syndrome nos"	"Alcohol misuse"
"62000"	"Eu10700"	"[x]men & behav dis due alcoh: resid & late-onset psychot dis"	"Alcohol misuse"
"62490"	"9k50.00"	"drug misuse - enhanced service completed"	"Drug misuse"
"62717"	"E249200"	"combined drug dependence, excluding opioid, episodic"	"Drug misuse"
"62887"	"E259100"	"nondependent mixed drug abuse, continuous"	"Drug misuse"
"63076"	"E25y000"	"nondependent other drug abuse, unspecified"	"Drug misuse"
"63379"	"L183100"	"drug dependence during pregnancy - baby delivered"	"Drug misuse"
"63529"	"9k12.00"	"alcohol misuse - enhanced service completed"	"Drug misuse"
"64101"	"Eu10400"	"[x]men & behav dis due alcohl: withdrawl state with delirium"	"Alcohol misuse"
"64265"	"E248100"	"combined opioid with other drug dependence, continuous"	"Drug misuse"
"64269"	"E247300"	"other specified drug dependence in remission"	"Drug misuse"
