"medcodeid"	"term"	"originalreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"readcode"	"newcat"
"397801000006117"	"[x]mental and behav dis due to use alcohol: dependence syndr"	"Eu102"	"66590003"	"500478011"	""	"Eu10200"	"Alcohol misuse"
"397811000006119"	"[x]mental and behav dis due to use alcohol: withdrawal state"	"Eu103"	"191480000"	"294674018"	""	"Eu10300"	"Alcohol misuse"
"397871000006111"	"[x]mental and behav dis due to use hallucinogens: harmfl use"	"Eu161"	"91388009"	"151411015"	""	"Eu16100"	"Drug misuse"
"397881000006114"	"[x]mental and behav dis due to use of alcohol: harmful use"	"Eu101"	"15167005"	"25750014"	""	"Eu10100"	"Alcohol misuse"
"397901000006111"	"[x]mental and behav dis due to use of opioids: harmful use"	"Eu111"	"5602001"	"10350013"	""	"Eu11100"	"Drug misuse"
"397931000006115"	"[x]mental and behav dis due to use opioids: dependence syndr"	"Eu112"	"75544000"	"125472011"	""	"Eu11200"	"Drug misuse"
"397941000006113"	"[x]mental and behav dis due to use opioids: withdrawal state"	"Eu113"	"87132004"	"144489015"	""	"Eu11300"	"Drug misuse"
"398161000006114"	"[x]mental and behavioural disorders due to use hallucinogens"	"Eu16"	"91388009"	"151411015"	""	"Eu16.00"	"Drug misuse"
"401793014"	"cannabis type drug dependence"	"E243"	"268641003"	"401793014"	""	"E243.00"	"Drug misuse"
"401796018"	"other specified drug dependence"	"E247"	"191816009"	"295145018"	""	"E247.00"	"Drug misuse"
"401797010"	"nondependent alcohol abuse"	"E250"	"268645007"	"401797010"	""	"E250.00"	"Alcohol misuse"
"401798017"	"nondependent hallucinogen abuse"	"E253"	"268646008"	"401798017"	""	"E253.00"	"Drug misuse"
"401801011"	"nondependent other drug abuse"	"E25y"	"49540005"	"82514017"	""	"E25y.00"	"Drug misuse"
"403871000006112"	"[x]opioid recept antag causing adverse effect in therap use"	"U60A1"	"292736001"	"432890016"	""	"U60A100"	"Drug misuse"
"405461000000114"	"alcohol abuse monitoring"	"66e0"	"247721000000109"	"405461000000114"	""	"66e0.00"	"Alcohol misuse"
"405581000000116"	"drug abuse monitoring"	"8AA"	"247781000000105"	"405581000000116"	""	"8AA..00"	"Drug misuse"
"421401000006110"	"[x]pois/exp ?intent to hallucinogen other spec place"	"U406y"	"85975005"	"142542018"	""	"U406y00"	"Drug misuse"
"44291000006113"	"opioid type drug dependence"	"E240"	"75544000"	"125472011"	""	"E240.00"	"Drug misuse"
"451124014"	"chronic alcoholic hepatitis"	"J6170"	"307757001"	"451124014"	""	"J617000"	"Alcohol misuse"
"4525015"	"alcoholic gastritis"	"J153"	"2043009"	"4525015"	""	"J153.00"	"Alcohol misuse"
"456900016"	"substance abuse counselling"	"ESCTSU1"	"313071005"	"1897711000006113"	""	"Z416.00"	"Drug misuse"
"456900016"	"substance abuse counselling"	"ESCTSU1"	"313071005"	"1897711000006113"	""	""	"Drug misuse"
"460276013"	"[v]personal history of alcoholism"	"ZV113"	"371422002"	"1210081015"	""	"ZV11300"	"Alcohol misuse"
"460277016"	"[v]personal history of psychoactive substance abuse"	"ZV114"	"371422002"	"1210081015"	""	"ZV11400"	"Drug misuse"
"460926018"	"[v]alcohol rehabilitation"	"ZV57A"	"35637008"	"59452011"	""	"ZV57A00"	"Alcohol misuse"
"461112017"	"[v]alcohol abuse counselling and surveillance"	"ZV6D6"	"24165007"	"1206287010"	""	"ZV6D600"	"Alcohol misuse"
"461113010"	"[v]drug abuse counselling and surveillance"	"ZV6D7"	"60112009"	"1207797010"	""	"ZV6D700"	"Drug misuse"
"475351000000110"	"previous history of benzodiazepine misuse"	"1T33"	"277191000000109"	"475351000000110"	""	"1T33.00"	"Drug misuse"
"475531000000111"	"previous history of heroin misuse"	"1T02"	"277281000000101"	"475531000000111"	""	"1T02.00"	"Drug misuse"
"475771000000117"	"h/o infrequent methadone misuse"	"1T12"	"277401000000105"	"475771000000117"	""	"1T12.00"	"Drug misuse"
"475831000000113"	"previous history of methadone misuse"	"1T13"	"277431000000104"	"475831000000113"	""	"1T13.00"	"Drug misuse"
"476071000000112"	"previous history of ecstasy misuse"	"1T23"	"277551000000105"	"476071000000112"	""	"1T23.00"	"Drug misuse"
"476311000000116"	"previous history of amphetamine misuse"	"1T43"	"277671000000100"	"476311000000116"	""	"1T43.00"	"Drug misuse"
"476361000006114"	"alcohol amnestic syndrome"	"E011"	"69482004"	"501300010"	""	"E011.00"	"Alcohol misuse"
"476611000006116"	"alcoholic cirrhosis of liver"	"J612"	"420054005"	"2920441014"	""	"J612.00"	"Alcohol misuse"
"476701000006114"	"alcoholic myopathy"	"F3941"	"19303008"	"32551012"	""	"F394100"	"Alcohol misuse"
"476741000006111"	"alcoholic psychoses"	"E01"	"42344001"	"70655012"	""	"E01..00"	"Alcohol misuse"
"476791000000114"	"previous history of anti-depressant misuse"	"1TC3"	"277911000000102"	"476791000000114"	""	"1TC3.00"	"Drug misuse"
"477031000000112"	"previous history of opiate misuse"	"1TD3"	"278031000000108"	"477031000000112"	""	"1TD3.00"	"Drug misuse"
"477158014"	"misuses drugs"	"1V0"	"361055000"	"477158014"	""	"1V0..00"	"Drug misuse"
"477271000000118"	"previous history of cocaine misuse"	"1T53"	"278151000000100"	"477271000000118"	""	"1T53.00"	"Drug misuse"
"477511000000114"	"previous history of crack cocaine misuse"	"1T63"	"278271000000102"	"477511000000114"	""	"1T63.00"	"Drug misuse"
"477751000000115"	"previous history of hallucinogen misuse"	"1T73"	"278391000000106"	"477751000000115"	""	"1T73.00"	"Drug misuse"
"478024019"	"alcohol-induced epilepsy"	"F25B"	"361268000"	"478024019"	""	"F25B.00"	"Alcohol misuse"
"478231000000119"	"previous history of cannabis misuse"	"1T83"	"278631000000101"	"478231000000119"	""	"1T83.00"	"Drug misuse"
"478471000000116"	"previous history of solvent misuse"	"1T93"	"278751000000104"	"478471000000116"	""	"1T93.00"	"Drug misuse"
"494053016"	"misused drugs in past"	"1V26"	"44870007"	"494053016"	""	"1V26.00"	"Drug misuse"
"497451000000119"	"history of substance misuse"	"1T"	"371422002"	"497451000000119"	""	"1T...00"	"Drug misuse"
"500478011"	"alcohol dependence syndrome"	"E23"	"66590003"	"500478011"	""	"E23..00"	"Alcohol misuse"
"501294012"	"wernicke-korsakov syndrome"	"E0112"	"69482004"	"501294012"	""	"E011200"	"Alcohol misuse"
"502016018"	"dipsomania"	"E231-1"	"7200002"	"502016018"	""	"E231.11"	"Alcohol misuse"
"502017010"	"alcohol problem drinking"	"E23-2"	"7200002"	"502017010"	""	"E23..12"	"Alcohol misuse"
"512101000000118"	"h/o methadone misuse"	"1T1"	"277091000000105"	"512101000000118"	""	"1T1..00"	"Drug misuse"
"512111000000116"	"h/o benzodiazepine misuse"	"1T3"	"277081000000108"	"512111000000116"	""	"1T3..00"	"Drug misuse"
"512121000000110"	"h/o amphetamine misuse"	"1T4"	"277071000000106"	"512121000000110"	""	"1T4..00"	"Drug misuse"
"512131000000112"	"h/o cocaine misuse"	"1T5"	"277061000000104"	"512131000000112"	""	"1T5..00"	"Drug misuse"
"512141000000115"	"h/o crack cocaine misuse"	"1T6"	"277051000000102"	"512141000000115"	""	"1T6..00"	"Drug misuse"
"512151000000117"	"h/o hallucinogen misuse"	"1T7"	"277041000000100"	"512151000000117"	""	"1T7..00"	"Drug misuse"
"512161000000119"	"h/o cannabis misuse"	"1T8"	"277031000000109"	"512161000000119"	""	"1T8..00"	"Drug misuse"
"512171000000114"	"h/o solvent misuse"	"1T9"	"277021000000107"	"512171000000114"	""	"1T9..00"	"Drug misuse"
